,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
102,54,services,married,unknown,no,no,no,telephone,may,mon,400,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
114,37,management,married,university.degree,no,no,no,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
122,41,services,married,high.school,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
126,50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
134,52,management,married,university.degree,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
159,59,services,married,high.school,no,no,no,telephone,may,mon,579,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
165,37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
168,40,blue-collar,married,unknown,no,no,no,telephone,may,mon,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
174,43,services,married,high.school,no,no,no,telephone,may,mon,93,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
175,46,management,married,basic.9y,no,no,no,telephone,may,mon,128,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
179,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
185,57,management,married,university.degree,no,no,no,telephone,may,mon,461,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
190,41,technician,married,professional.course,no,no,no,telephone,may,mon,412,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
193,42,technician,married,university.degree,no,no,no,telephone,may,mon,228,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
203,43,admin.,married,unknown,no,no,no,telephone,may,mon,277,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
212,59,admin.,married,university.degree,no,no,no,telephone,may,mon,477,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
219,40,services,married,high.school,no,no,no,telephone,may,mon,322,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
224,40,technician,married,basic.9y,no,no,no,telephone,may,mon,168,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
225,58,retired,married,university.degree,no,no,no,telephone,may,mon,132,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
226,42,technician,married,university.degree,no,no,no,telephone,may,mon,64,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
236,56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
237,48,admin.,married,high.school,no,no,no,telephone,may,mon,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
240,57,retired,married,high.school,no,no,no,telephone,may,mon,238,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
262,42,technician,married,high.school,no,no,no,telephone,may,mon,361,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
264,42,admin.,married,university.degree,no,no,no,telephone,may,mon,67,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
279,51,retired,married,professional.course,no,no,no,telephone,may,mon,118,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
280,47,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,92,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
282,53,admin.,married,basic.9y,no,no,no,telephone,may,mon,189,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
295,47,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
317,56,retired,married,basic.6y,no,no,no,telephone,may,mon,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
318,42,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,173,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
342,49,admin.,married,basic.9y,no,no,no,telephone,may,mon,220,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
349,57,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,164,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
351,55,technician,married,professional.course,no,no,no,telephone,may,mon,113,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
352,38,management,married,university.degree,no,no,no,telephone,may,mon,195,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2002,59,management,married,university.degree,no,no,no,telephone,may,mon,460,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
2018,53,self-employed,married,university.degree,no,no,no,telephone,may,mon,592,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2043,44,blue-collar,married,professional.course,no,no,no,telephone,may,mon,94,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2064,39,admin.,married,university.degree,no,no,no,telephone,may,mon,744,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
2082,56,entrepreneur,married,basic.4y,no,no,no,telephone,may,mon,820,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2086,42,management,married,university.degree,no,no,no,telephone,may,mon,64,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2090,48,services,married,high.school,no,no,no,telephone,may,mon,788,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2109,38,blue-collar,married,professional.course,no,no,no,telephone,may,mon,393,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2119,38,technician,married,professional.course,no,no,no,telephone,may,mon,80,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2122,45,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,101,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2133,46,technician,married,basic.9y,no,no,no,telephone,may,mon,171,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2136,41,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,156,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2141,51,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,470,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2143,39,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,793,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2144,50,management,married,basic.9y,no,no,no,telephone,may,mon,219,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2157,38,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,177,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2173,45,management,married,professional.course,no,no,no,telephone,may,mon,98,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2183,58,management,married,university.degree,no,no,no,telephone,may,mon,236,10,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2190,39,services,married,professional.course,no,no,no,telephone,may,mon,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2202,41,management,married,high.school,no,no,no,telephone,may,mon,264,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2206,39,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,299,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2210,37,admin.,married,unknown,no,no,no,telephone,may,mon,89,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2222,44,blue-collar,married,high.school,no,no,no,telephone,may,mon,13,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2233,45,entrepreneur,married,basic.9y,no,no,no,telephone,may,mon,249,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2234,47,management,married,university.degree,no,no,no,telephone,may,mon,24,12,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2243,39,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,249,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
3946,46,technician,married,professional.course,no,no,no,telephone,may,mon,29,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3948,41,blue-collar,married,professional.course,no,no,no,telephone,may,mon,144,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3951,49,management,married,university.degree,no,no,no,telephone,may,mon,27,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3954,46,admin.,married,professional.course,no,no,no,telephone,may,mon,167,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3962,50,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,165,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3968,38,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,241,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3975,41,management,married,university.degree,no,no,no,telephone,may,mon,97,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3990,37,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,168,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
3999,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,182,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4001,45,admin.,married,university.degree,no,no,no,telephone,may,mon,351,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4003,39,housemaid,married,university.degree,no,no,no,telephone,may,mon,237,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4008,41,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4014,41,technician,married,university.degree,no,no,no,telephone,may,mon,156,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4019,38,management,married,unknown,no,no,no,telephone,may,mon,610,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4023,37,blue-collar,married,professional.course,no,no,no,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4024,47,technician,married,professional.course,no,no,no,telephone,may,mon,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4034,48,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,607,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,yes
4043,39,admin.,married,basic.4y,no,no,no,telephone,may,mon,222,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4044,42,services,married,professional.course,no,no,no,telephone,may,mon,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4056,55,admin.,married,university.degree,no,no,no,telephone,may,mon,201,14,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4062,53,self-employed,married,university.degree,no,no,no,telephone,may,mon,396,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4064,49,housemaid,married,basic.4y,no,no,no,telephone,may,mon,13,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4065,44,entrepreneur,married,professional.course,no,no,no,telephone,may,mon,259,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4068,41,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,89,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4098,48,blue-collar,married,professional.course,no,no,no,telephone,may,mon,219,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4099,42,entrepreneur,married,university.degree,no,no,no,telephone,may,mon,148,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4114,52,entrepreneur,married,university.degree,no,no,no,telephone,may,mon,44,39,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4120,45,entrepreneur,married,basic.9y,no,no,no,telephone,may,mon,34,9,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4145,47,admin.,married,university.degree,no,no,no,telephone,may,mon,408,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4185,48,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,332,10,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4190,59,housemaid,married,unknown,no,no,no,telephone,may,mon,175,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
4204,39,blue-collar,married,professional.course,no,no,no,telephone,may,mon,87,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
5491,42,admin.,married,university.degree,no,no,no,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5497,44,technician,married,university.degree,no,no,no,telephone,may,mon,125,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5498,41,self-employed,married,high.school,no,no,no,telephone,may,mon,237,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5507,42,admin.,married,basic.4y,no,no,no,telephone,may,mon,322,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5518,47,entrepreneur,married,high.school,no,no,no,telephone,may,mon,118,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5524,41,technician,married,basic.9y,no,no,no,telephone,may,mon,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5527,42,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,204,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5541,42,services,married,unknown,no,no,no,telephone,may,mon,50,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5547,44,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,281,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5554,52,admin.,married,basic.6y,no,no,no,telephone,may,mon,228,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5558,43,management,married,professional.course,no,no,no,telephone,may,mon,153,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5573,44,technician,married,professional.course,no,no,no,telephone,may,mon,754,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5578,42,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,266,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5580,37,admin.,married,university.degree,no,no,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5581,45,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5583,46,management,married,university.degree,no,no,no,telephone,may,mon,103,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5590,37,services,married,high.school,no,no,no,telephone,may,mon,63,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5614,45,admin.,married,basic.9y,no,no,no,telephone,may,mon,367,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5623,43,services,married,high.school,no,no,no,telephone,may,mon,77,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5643,39,admin.,married,university.degree,no,no,no,telephone,may,mon,104,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5678,37,admin.,married,basic.6y,no,no,no,telephone,may,mon,130,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5706,39,admin.,married,high.school,no,no,no,telephone,may,mon,200,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5714,46,technician,married,professional.course,no,no,no,telephone,may,mon,290,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5715,45,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,159,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5721,49,technician,married,university.degree,no,no,no,telephone,may,mon,107,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5756,40,admin.,married,high.school,no,no,no,telephone,may,mon,160,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5770,47,admin.,married,basic.4y,no,no,no,telephone,may,mon,126,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5780,39,management,married,university.degree,no,no,no,telephone,may,mon,431,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
5788,52,unemployed,married,unknown,no,no,no,telephone,may,mon,472,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5812,43,services,married,high.school,no,no,no,telephone,may,mon,207,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5822,52,technician,married,professional.course,no,no,no,telephone,may,mon,160,11,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5823,47,technician,married,basic.9y,no,no,no,telephone,may,mon,83,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5840,59,admin.,married,professional.course,no,no,no,telephone,may,mon,51,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5844,48,admin.,married,university.degree,no,no,no,telephone,may,mon,155,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5847,39,admin.,married,university.degree,no,no,no,telephone,may,mon,583,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5854,38,admin.,married,university.degree,no,no,no,telephone,may,mon,543,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5879,38,services,married,high.school,no,no,no,telephone,may,mon,219,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5894,39,management,married,university.degree,no,no,no,telephone,may,mon,102,22,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5901,46,entrepreneur,married,basic.9y,no,no,no,telephone,may,mon,241,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5911,49,blue-collar,married,high.school,no,no,no,telephone,may,mon,560,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
30467,65,management,married,university.degree,no,no,no,telephone,may,mon,1076,3,6,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
30597,39,admin.,married,high.school,no,no,no,telephone,may,mon,6,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
30610,59,management,married,university.degree,no,no,no,telephone,may,mon,340,8,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
30625,53,admin.,married,basic.9y,no,no,no,telephone,may,mon,40,5,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
32632,37,services,married,high.school,no,no,no,telephone,may,mon,108,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
32656,37,admin.,married,high.school,no,no,no,telephone,may,mon,42,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
32782,49,services,married,high.school,no,no,no,telephone,may,mon,86,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
32991,37,admin.,married,high.school,no,no,no,telephone,may,mon,193,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
39628,41,admin.,married,university.degree,no,no,no,telephone,may,mon,128,2,999,0,nonexistent,-1.8,93.876,-40.0,0.682,5008.7,no
39687,54,admin.,married,professional.course,no,no,no,telephone,may,mon,564,5,999,0,nonexistent,-1.8,93.876,-40.0,0.685,5008.7,no
